frame,time,id,class,center_x,center_y,speed_kmh,center_y_inverted,delta_x,delta_y,theta,delta_theta,cum_delta_theta,windowed_delta_theta,turn_label,distance_moved,distance_moved_meters,overall_turn_label
541,18.655172413793103,3,car,245,262,0.5536363636363636,-262,0.0,1.0,1.5707963267948966,1.5707963267948966,3.141592653589793,3.141592653589793,straight,1.0,0.18421052631578946,straight
571,19.689655172413797,3,car,245,262,0.0,-262,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
601,20.724137931034484,3,car,245,262,0.0,-262,0.0,0.0,0.0,0.0,-1.5707963267948966,-1.5707963267948966,straight,0.0,0.0,straight
631,21.75862068965517,3,car,245,263,0.5536363636363636,-263,0.0,-1.0,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,-1.5707963267948966,straight,1.0,0.18421052631578946,straight
661,22.79310344827586,3,car,244,263,0.5536363636363636,-263,-1.0,0.0,3.141592653589793,-1.5707963267948966,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
691,23.82758620689655,3,car,244,263,0.0,-263,0.0,0.0,0.0,-3.141592653589793,-4.71238898038469,-4.71238898038469,straight,0.0,0.0,straight
721,24.86206896551724,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,straight,0.0,0.0,straight
751,25.89655172413793,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
781,26.93103448275862,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
811,27.96551724137931,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
841,29.0,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
871,30.03448275862069,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
901,31.06896551724138,3,car,244,263,0.0,-263,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
931,32.10344827586207,3,car,244,262,0.0553636363636363,-262,0.0,1.0,1.5707963267948966,1.5707963267948966,1.5707963267948966,1.5707963267948966,straight,1.0,0.18421052631578946,straight
961,33.13793103448276,3,car,244,262,0.3875454545454545,-262,0.0,0.0,0.0,-1.5707963267948966,0.0,0.0,straight,0.0,0.0,straight
991,34.172413793103445,3,car,243,262,0.576568732680474,-262,-1.0,0.0,3.141592653589793,-3.141592653589793,-4.71238898038469,-4.71238898038469,straight,1.0,0.18421052631578946,straight
1021,35.206896551724135,3,car,243,262,0.0,-262,0.0,0.0,0.0,-3.141592653589793,-6.283185307179586,-6.283185307179586,straight,0.0,0.0,straight
1051,36.241379310344826,3,car,243,262,0.0,-262,0.0,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,straight,0.0,0.0,straight
1081,37.27586206896552,3,car,243,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1111,38.310344827586206,3,car,243,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1141,39.3448275862069,3,car,243,262,0.0553636363636363,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1171,40.37931034482759,3,car,242,262,0.3321818181818182,-262,-1.0,0.0,3.141592653589793,-3.141592653589793,-3.141592653589793,-3.141592653589793,straight,1.0,0.18421052631578946,straight
1201,41.41379310344828,3,car,242,262,0.1107272727272727,-262,0.0,0.0,0.0,-3.141592653589793,-6.283185307179586,-6.283185307179586,straight,0.0,0.0,straight
1231,42.44827586206897,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,-3.141592653589793,-3.141592653589793,straight,0.0,0.0,straight
1261,43.48275862068966,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1291,44.51724137931034,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1321,45.55172413793103,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1351,46.58620689655172,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1381,47.62068965517241,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1411,48.6551724137931,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1441,49.689655172413794,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1471,50.72413793103448,3,car,242,262,0.0,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
1501,51.75862068965517,3,car,242,262,0.1107272727272727,-262,0.0,0.0,0.0,0.0,0.0,0.0,straight,0.0,0.0,straight
